lon,lat
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
-77.4714,39.6306
